row_id,keywords,current_category,new_category
,"primary color, primary palette, primary",,colors
,"secondary color, accent, accent palette",,colors
,"liturgical, lent, advent, pentecost, ordinary time, extended",,general
,"hcfm blue, pantone 2728, brand blue, identifier blue",,voice
,"yellow gold, pantone 7549, gold hex, ffb500",,voice
,"marian blue, pantone 2995, sky blue, light blue",,voice
,"muted gold, pantone 871, old gold, 89764b",,voice
,"black, foundation color, 000000",,colors
,"white, ffffff, breathing space",,colors
,"yellow gold vs muted gold, when use muted gold, two golds, gold difference",,colors
,"yellow gold body text, gold on white, accessibility, contrast",,typography
,"contrast, wcag, readable, accessibility ratio",,accessibility
,"light blue, why marian",,colors
,"extended palette, do not use, old colors",,colors
,"mark vs logo, mark or logo, difference mark logo, symbol vs logo",,logo
,"logotype 1, horizontal, wide layout",,logo
,"logotype 2, stacked",,logo
,"logotype 3, compact stacked",,logo
,"logotype 4, single line, narrow",,logo
,"logo download, where logo, download logo, get logo",,logo
,"ai file, editable, illustrator, source file, eps",,logo
,"minimum size, logo size, how small",,logo
,"clear space, free space, margin around logo",,logo
,"logo do not, misuse, never do, logo rule",,logo
,"file format, svg, png, jpg",,logo
,"favicon, profile picture, small",,logo
,"symbol meaning, what does symbol, meaning of mark, mark layers",,symbol
,"10 beads, ten beads, rosary beads, why ten",,symbol
,"family of prayer, person, figure",,symbol
,"floral, rose, lily, iris, mary connection",,symbol
,"moon, light center, white space mark",,symbol
,"welcome, invitation, mission, outward",,symbol
,"font, typography, fonts list",,typography
,"body text, body font, paragraph font",,typography
,"headline, header, display font",,typography
,"playlist script, script font, decorative font",,typography
,"whitney, sans serif",,typography
,"calluna, serif font",,typography
,"times roman, times new roman",,typography
,"font download, where font, get fonts",,typography
,"font pairing, combination, mix fonts",,typography
,"voice, tone, how to write",,voice
,"we say, preferred phrase, always say",,voice
,"we avoid, never say, do not say",,voice
,"donor letter, how donor letter",,voice
,"social caption, caption tone",,voice
,"imagery, photography, photo categories",,imagery
,rule of thirds,,imagery
,leading lines,,imagery
,frame within frame,,imagery
,filling the frame,,imagery
,"shot list, event photography",,imagery
